Policy,Avg Latency (ms),P95 Latency (ms),SLO Violation Rate (%),Avg Carbon (gCO2eq/kWh),Carbon Reduction,US-East,US-West,EU-West,EU-North,Singapore
Latency-First,37.5,79.5,0.0,268.7,0.0,13419,6739,8435,0,5007
Carbon-First,132.7,225.9,71.11,24.9,90.7,0,0,0,33600,0
Hybrid (α=0.2),102.9,201.3,51.37,35.6,86.8,0,6673,0,26927,0
Hybrid (α=0.3),102.6,201.2,51.02,35.7,86.7,0,6739,0,26861,0
Hybrid (α=0.5),82.1,193.2,20.37,70.5,73.8,0,15813,0,15339,2448
Hybrid (α=0.7),46.0,92.8,0.32,182.5,32.1,10840,9318,0,8435,5007
Constrained Hybrid,62.4,129.3,0.0,121.1,54.9,1848,17800,0,8945,5007
